protein_id,protein_st19_cis_h2,protein_st19_trans_h2,protein_st19_all_pqtl_h2,protein_st19_polygenic_h2,protein_st19_total_h2,protein_st19_cis_h2_fraction,protein_st19_trans_h2_fraction,protein_hpa_has_match,protein_hpa_rna_tissue_prior,protein_hpa_protein_tissue_prior,protein_hpa_tissue_prior,protein_hpa_is_secreted,protein_hpa_is_membrane
SIRPA:P78324:OID20304:v1,0.772901908753621,0.00847860544705847,0.78138051420068,0.1093,0.89068051420068,0.867765597687116,0.00951924434393559,1.0,0.8120284288195875,1.0,1.0,0.0,1.0
LILRB5:O75023:OID20324:v1,0.794063235181574,0.00343758621610368,0.797500821397677,0.09,0.887500821397677,0.894718310154402,0.00387333299668389,1.0,0.7760851255199003,0.9325,0.9325,0.0,1.0
FUCA1:P04066:OID20261:v1,0.0672915052950639,0.697925513895414,0.765217019190478,0.1012,0.866417019190478,0.0776664167538359,0.805530706850044,1.0,0.5025,0.5025,0.5025,0.0,0.0
TLR3:O15455:OID20612:v1,0.77325134202652,0.00586061977711083,0.779111961803631,0.0818,0.860911961803631,0.898177021964638,0.00680745539280542,1.0,0.5525,0.5525,0.5525,0.0,1.0
CD33:P20138:OID21472:v1,0.778705362277487,0.0107200822023492,0.789425444479836,0.0696,0.859025444479836,0.906498599408792,0.0124793535176836,1.0,0.7649646747032216,0.9325,0.9325,0.0,1.0
MICB_MICA:Q29980_Q29983:OID20593:v1,0.773873727739134,0.0126103477133107,0.786484075452445,0.0608,0.847284075452445,0.91335804620887,0.0148832582585443,0.0,0.4475,0.4475,0.4475,0.0,0.0
DKKL1:Q9UK85:OID21313:v1,0.732510727558744,0.0254149219493182,0.757925649508062,0.0873,0.845225649508062,0.866645171008569,0.0300688011114076,1.0,0.9698516662346108,0.35,0.9698516662346108,1.0,0.0
PDGFRB:P09619:OID20268:v1,0.732571437106075,0.00421549180000169,0.736786928906077,0.0964,0.833186928906077,0.879240194115738,0.00505947903615863,1.0,0.5525,0.5025,0.5525,0.0,1.0
MST1:P26927:OID30713:v1,0.689653916284686,0.00940072124131252,0.699054637525998,0.1106,0.809654637525998,0.851787767673399,0.0116107792206781,1.0,0.8204021346011774,0.4475,0.8204021346011774,1.0,0.0
DBH:P09172:OID30703:v1,0.654651391615165,0.00787125873196725,0.662522650347133,0.1283,0.790822650347133,0.827810623946855,0.00995325403048604,1.0,0.7684962419983405,0.865,0.865,0.0,0.0
IL17RA:Q96F46:OID21089:v1,0.722537593112286,0.00368357467871582,0.726221167791002,0.0547,0.780921167791002,0.925237556507956,0.0047169609822917,1.0,0.7671688422016706,1.0,1.0,1.0,1.0
CCL24:O00175:OID20772:v1,0.648307263293255,0.0174598500354576,0.665767113328713,0.1118,0.777567113328713,0.833763738435252,0.0224544605040113,1.0,0.6683828684844482,1.0,1.0,1.0,0.0
MBL2:P11226:OID30759:v1,0.650666618947228,0.0409739684025201,0.691640587349749,0.0852,0.776840587349749,0.837580617623273,0.0527443713288796,1.0,1.0,1.0,1.0,1.0,0.0
PNLIPRP2:P54317:OID20775:v1,0.679722666313884,0.0225042516854853,0.70222691799937,0.0745,0.77672691799937,0.875111510316468,0.0289731837071514,1.0,1.0,0.4475,1.0,0.0,0.0
TPSAB1:Q15661:OID20642:v1,0.633602822063733,0.020421444287632,0.654024266351365,0.12,0.774024266351365,0.818582633139452,0.0263834677740733,1.0,0.5525,0.35,0.5525,1.0,0.0
ZP3:P21754:OID30265:v1,0.668224354219893,0.0107515603366132,0.678975914556506,0.0882,0.767175914556506,0.871018421643469,0.0140144654343438,1.0,0.755,1.0,1.0,1.0,1.0
MEP1B:Q16820:OID20168:v1,0.616615497768372,0.0264954599491301,0.643110957717503,0.118,0.761110957717503,0.810151912169997,0.0348115602337239,1.0,0.9256781955045288,1.0,1.0,1.0,1.0
CFHR4:Q92496:OID30758:v1,0.679246969034062,0.0054875502166285,0.68473451925069,0.073,0.75773451925069,0.896418140888918,0.00724204860305827,1.0,1.0,0.9325,1.0,1.0,0.0
CFHR2:P36980:OID30720:v1,0.68746588280386,0.000456039145278364,0.687921921949139,0.0665,0.754421921949139,0.911248550450006,0.000604488194219134,1.0,1.0,0.35,1.0,1.0,0.0
KLK12:Q9UKR0:OID21201:v1,0.694878891763643,0.00607194097762775,0.700950832741271,0.0514,0.752350832741271,0.923610184934304,0.00807062438610452,1.0,0.6683828684844482,0.9325,0.9325,1.0,0.0
IL6R:P08887:OID20385:v1,0.650323633554174,0.00524203376752452,0.655565667321699,0.0934,0.748965667321699,0.868295653497351,0.00699903079171844,1.0,0.7957741095459128,0.35,0.7957741095459128,1.0,1.0
MDGA1:Q8NFP4:OID20951:v1,0.663045693195035,0.00878377915130601,0.671829472346341,0.0771,0.748929472346341,0.885324610230335,0.0117284463699727,1.0,0.7965911424130654,1.0,1.0,0.0,0.0
LILRA3:Q8N6C8:OID30376:v1,0.647860284491788,0.00400699051822595,0.651867275010014,0.0966,0.748467275010014,0.865582646192674,0.00535359480903468,0.0,0.4475,0.4475,0.4475,0.0,0.0
ACP6:Q9NPH0:OID21432:v1,0.662147147611579,6.12887860479416e-05,0.662208436397627,0.0859,0.748108436397627,0.885095148505505,8.19250032028325e-05,1.0,0.5025,0.865,0.865,0.0,0.0
PILRB:Q9UKJ0:OID20197:v1,0.584463162404173,0.00728623337771461,0.591749395781888,0.1524,0.744149395781888,0.785411055518052,0.00979135832000356,1.0,0.5025,0.35,0.5025,0.0,1.0
LRRC37A2:A6NM11:OID31440:v1,0.658038850265124,0.0169069118852838,0.674945762150408,0.0632,0.738145762150408,0.891475483579406,0.0229045708208493,1.0,0.8246226950319173,0.35,0.8246226950319173,0.0,1.0
PSCA:O43653:OID31493:v1,0.690373743859673,0.021140491184266,0.711514235043939,0.0246,0.736114235043939,0.937862237942544,0.0287190359564289,1.0,0.7858828684844481,1.0,1.0,0.0,1.0
CSF2RB:P32927:OID30553:v1,0.645406144161905,0.00528914826924853,0.650695292431154,0.0847,0.735395292431154,0.877631595965549,0.00719225200879796,1.0,0.7848466353406887,1.0,1.0,0.0,1.0
CTSH:P09668:OID20113:v1,0.644997881102682,0.0056654778859565,0.650663358988638,0.0752,0.725863358988639,0.888594076440739,0.00780515756278197,1.0,0.8329292251841047,0.865,0.865,0.0,0.0
BST1:Q10588:OID21051:v1,0.633881681617971,0.0213250721259542,0.655206753743925,0.0706,0.725806753743925,0.873347731125705,0.029381198254154,1.0,0.6599307196358201,0.865,0.865,0.0,0.0
FGFR4:P22455:OID30646:v1,0.489361436645457,0.125971423872113,0.615332860517571,0.1096,0.724932860517571,0.675043805154693,0.173769780255477,1.0,0.7927451128111402,0.35,0.7927451128111402,0.0,1.0
