protein_id,assay_target,protein_panel,gene_symbol,uniprot,n_edges,n_snps,n_cis,n_trans,max_log10p,sum_abs_beta,n_regulatory_modes,regulatory_modes
ACAN:P16112:OID20159:v1,ACAN,Cardiometabolic,ACAN,P16112,19,19,1,18,224.889,1.4397719,4,cis_locus_linked;trans_other_gene_coding_or_splice;trans_other_or_unknown;trans_regulatory_or_intronic
ACE2:Q9BYF1:OID20105:v1,ACE2,Cardiometabolic,ACE2,Q9BYF1,13,13,0,13,118.374,1.013639,2,trans_other_gene_coding_or_splice;trans_regulatory_or_intronic
ACOX1:Q15067:OID20124:v1,ACOX1,Cardiometabolic,ACOX1,Q15067,1,1,1,0,30.8231,0.0770189,1,cis_target_regulatory_or_linked
ACP5:P13686:OID20314:v1,ACP5,Cardiometabolic,ACP5,P13686,15,15,1,14,679.889,1.6120803000000001,4,cis_target_coding_or_splice;trans_other_gene_coding_or_splice;trans_other_or_unknown;trans_regulatory_or_intronic
ACY1:Q03154:OID20137:v1,ACY1,Cardiometabolic,ACY1,Q03154,3,3,0,3,25.6984,0.1846083,2,trans_other_gene_coding_or_splice;trans_regulatory_or_intronic
ADA2:Q9NZK5:OID20394:v1,ADA2,Cardiometabolic,ADA2,Q9NZK5,19,19,1,18,248.818,1.9090515000000001,4,cis_target_regulatory_or_linked;trans_other_gene_coding_or_splice;trans_other_or_unknown;trans_regulatory_or_intronic
ADAM15:Q13444:OID20109:v1,ADAM15,Cardiometabolic,ADAM15,Q13444,9,9,1,8,3176.38,1.8922942999999999,3,cis_locus_linked;trans_other_gene_coding_or_splice;trans_regulatory_or_intronic
ADAMTS13:Q76LX8:OID20249:v1,ADAMTS13,Cardiometabolic,ADAMTS13,Q76LX8,15,15,1,14,840.431,2.468308,3,cis_target_regulatory_or_linked;trans_other_gene_coding_or_splice;trans_regulatory_or_intronic
ADAMTS16:Q8TE57:OID20089:v1,ADAMTS16,Cardiometabolic,ADAMTS16,Q8TE57,1,1,1,0,95.7149,0.125441,1,cis_locus_linked
ADGRE5:P48960:OID20260:v1,ADGRE5,Cardiometabolic,ADGRE5,P48960,13,13,1,12,213.004,1.4642704,3,cis_target_coding_or_splice;trans_other_gene_coding_or_splice;trans_regulatory_or_intronic
ADGRG2:Q8IZP9:OID20189:v1,ADGRG2,Cardiometabolic,ADGRG2,Q8IZP9,6,6,0,6,23.8915,0.4562904,3,trans_other_gene_coding_or_splice;trans_other_or_unknown;trans_regulatory_or_intronic
ADH4:P08319:OID20117:v1,ADH4,Cardiometabolic,ADH4,P08319,8,8,1,7,100.973,0.5759399,4,cis_target_regulatory_or_linked;trans_other_gene_coding_or_splice;trans_other_or_unknown;trans_regulatory_or_intronic
AGXT:P21549:OID20139:v1,AGXT,Cardiometabolic,AGXT,P21549,17,17,1,16,400.745,1.6064219,4,cis_locus_linked;trans_other_gene_coding_or_splice;trans_other_or_unknown;trans_regulatory_or_intronic
AHCY:P23526:OID20199:v1,AHCY,Cardiometabolic,AHCY,P23526,2,2,1,1,669.945,1.4128304999999999,2,cis_target_coding_or_splice;trans_regulatory_or_intronic
AK1:P00568:OID20122:v1,AK1,Cardiometabolic,AK1,P00568,1,1,1,0,12.9964,0.114196,1,cis_locus_linked
ALCAM:Q13740:OID20273:v1,ALCAM,Cardiometabolic,ALCAM,Q13740,12,12,1,11,105.358,1.3032342,4,cis_target_coding_or_splice;trans_other_gene_coding_or_splice;trans_other_or_unknown;trans_regulatory_or_intronic
AMY2A:P04746:OID20333:v1,AMY2A,Cardiometabolic,AMY2A,P04746,13,13,1,12,671.017,1.4251799,3,cis_locus_linked;trans_other_or_unknown;trans_regulatory_or_intronic
AMY2B:P19961:OID20340:v1,AMY2B,Cardiometabolic,AMY2B,P19961,12,12,1,11,780.238,1.4540653,3,cis_locus_linked;trans_other_or_unknown;trans_regulatory_or_intronic
ANG:P03950:OID20403:v1,ANG,Cardiometabolic,ANG,P03950,11,11,1,10,1100.47,1.1677661,3,cis_locus_linked;trans_other_gene_coding_or_splice;trans_regulatory_or_intronic
ANGPTL1:O95841:OID20211:v1,ANGPTL1,Cardiometabolic,ANGPTL1,O95841,8,8,1,7,459.235,1.0129199,3,cis_locus_linked;trans_other_gene_coding_or_splice;trans_regulatory_or_intronic
ANGPTL3:Q9Y5C1:OID20407:v1,ANGPTL3,Cardiometabolic,ANGPTL3,Q9Y5C1,7,7,0,7,39.4612,0.6915818,2,trans_other_gene_coding_or_splice;trans_regulatory_or_intronic
ANPEP:P15144:OID20350:v1,ANPEP,Cardiometabolic,ANPEP,P15144,6,6,1,5,857.487,1.1333157,4,cis_target_regulatory_or_linked;trans_other_gene_coding_or_splice;trans_other_or_unknown;trans_regulatory_or_intronic
ANXA4:P09525:OID20123:v1,ANXA4,Cardiometabolic,ANXA4,P09525,3,3,0,3,27.834,0.1617887,1,trans_regulatory_or_intronic
