protein_id,assay_target,gene_symbol,uniprot,hpa_has_match,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,hpa_top_rna_tissue,hpa_top_rna_ntpm,Protein tissue specificity,Protein tissue distribution,Protein tissue specificity score,hpa_top_protein_tissue,hpa_top_protein_intensity,Secretome location,Protein class,rna_tissue_prior,protein_tissue_prior,hpa_tissue_prior
ACAN:P16112:OID20159:v1,ACAN,ACAN,P16112,1,Tissue enriched,Detected in some,12,blood vessel,35.7,Tissue enriched,Detected in many,,blood vessel,751269559.7,Secreted to extracellular matrix,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",0.7945197902927085,1.0,1.0
ACE2:Q9BYF1:OID20105:v1,ACE2,ACE2,Q9BYF1,1,Tissue enhanced,Detected in many,,intestine,230.5,Group enriched,Detected in some,,pancreas,19350961.8,Secreted to blood,"Enzymes, Metabolic proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters",0.8226139274714841,0.9324999999999999,0.9324999999999999
ACOX1:Q15067:OID20124:v1,ACOX1,ACOX1,Q15067,1,Tissue enhanced,Detected in all,,liver,113.3,Tissue enriched,Detected in all,,liver,58394914.8,,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",0.8021832326424088,1.0,1.0
ACP5:P13686:OID20314:v1,ACP5,ACP5,P13686,1,Tissue enhanced,Detected in all,,lung,155.5,Tissue enhanced,Detected in many,,liver,6125966.7,Intracellular and membrane,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",0.8112797905379139,0.865,0.865
ACY1:Q03154:OID20137:v1,ACY1,ACY1,Q03154,1,Group enriched,Detected in all,7,kidney,420.7,Group enriched,Detected in all,,kidney,3940434378.6,,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",0.7151749298947608,0.9324999999999999,0.9324999999999999
ADA2:Q9NZK5:OID20394:v1,ADA2,ADA2,Q9NZK5,1,Tissue enhanced,Detected in all,,lymphoid tissue,106.4,Tissue enhanced,Detected in many,,lymphoid tissue,16415617.4,Secreted to blood,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",0.8003806968536896,0.865,0.865
ADAM15:Q13444:OID20109:v1,ADAM15,ADAM15,Q13444,1,Low tissue specificity,Detected in all,,,0.0,Tissue enhanced,Detected in many,,skin,1133935.9,,"Predicted intracellular proteins, Predicted membrane proteins",0.5025,0.865,0.865
ADAMTS13:Q76LX8:OID20249:v1,ADAMTS13,ADAMTS13,Q76LX8,1,Tissue enhanced,Detected in many,,liver,62.5,Not detected,Not detected,,,0.0,Secreted to blood,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",0.7851675276802946,0.35,0.7851675276802946
ADAMTS16:Q8TE57:OID20089:v1,ADAMTS16,ADAMTS16,Q8TE57,1,Tissue enhanced,Detected in many,,ovary,22.8,Group enriched,Detected in some,11707,ovary,1811748.1,Secreted to extracellular matrix,Predicted secreted proteins,0.756758520368025,0.9324999999999999,0.9324999999999999
ADGRE5:P48960:OID20260:v1,ADGRE5,ADGRE5,P48960,1,Tissue enhanced,Detected in many,,bone marrow,200.1,Tissue enhanced,Detected in all,,lymphoid tissue,22724087.1,Secreted to blood,"CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters",0.8185385888252443,0.865,0.865
ADGRG2:Q8IZP9:OID20189:v1,ADGRG2,ADGRG2,Q8IZP9,1,Tissue enriched,Detected in many,8,epididymis,1159.4,Group enriched,Detected in some,1764,salivary gland,216268.6,,"Disease related genes, G-protein coupled receptors, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",0.8166323987123147,0.9324999999999999,0.9324999999999999
ADH4:P08319:OID20117:v1,ADH4,ADH4,P08319,1,Tissue enriched,Detected in some,31,liver,4815.9,Tissue enriched,Detected in many,,liver,1659068834.2,,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",0.9128333456414539,1.0,1.0
AGXT:P21549:OID20139:v1,AGXT,AGXT,P21549,1,Tissue enriched,Detected in some,190,liver,1191.5,Tissue enriched,Detected in some,,liver,484375116.1,,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",1.0,1.0,1.0
AHCY:P23526:OID20199:v1,AHCY,AHCY,P23526,1,Low tissue specificity,Detected in all,,,0.0,Low tissue specificity,Detected in all,,,0.0,,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",0.5025,0.5025,0.5025
AK1:P00568:OID20122:v1,AK1,AK1,P00568,1,Tissue enhanced,Detected in all,,skeletal muscle,1262.8,Group enriched,Detected in all,,skeletal muscle,1650807628.7,,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",0.865,0.9324999999999999,0.9324999999999999
