source_sheet,evidence_type,n_rows,n_unique_variants
ST10,combined_significant_pqtl,23588,12366
ST11,non_european_significant_pqtl,1923,1552
ST12,high_impact_coding_or_splicing_pqtl,55,55
ST13,regulatory_non_coding_pqtl,517,517
ST14,lead_variant_in_ld_with_pav,530,518
ST14,pav_in_ld_with_lead_variant,563,558
ST15,novel_or_replicated_discovery_pqtl,14287,7641
ST16,fine_mapped_credible_set_variant,572574,255116
ST16,fine_mapped_top_variant,29420,19802
ST17,credible_set_contains_pav,7836,3734
ST18,pqtl_pqtl_colocalized_cis_top,1275,1111
ST18,pqtl_pqtl_colocalized_other_top,1991,1605
ST20,trans_locus_interacting_protein,2556,1023
ST21,reciprocal_trans_interaction,54,45
ST23,receptor_ligand_trans_pqtl,55,45
ST24,pqtl_covariate_robustness,14287,7641
ST26,cis_pqtl_eqtl_colocalized_top,1956,1944
ST29,inflammasome_trans_pqtl,14,13
ST9,discovery_significant_pqtl,14287,7641
