sheet,rows,cols,columns
ST1,148,6,ST1. UKB and UKB-PPP baseline demographics; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5
ST2,749,12,ST2. Disease frequencies and enrichment between UKB and UKB-PPP study; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10; Unnamed: 11
ST3,2941,14,UKBPPP ProteinID; Olink ID; Assay Target; Protein panel; Gene symbol; UniProt; Gene CHROM; Gene start; Gene end; Dilution factor; % of samples below LOD; Coefficient of variation (median %); % of data failing QC; ICC (interclass correlation) of sample age
ST4,11,8,ST4. Correlation between Olink assay and UKB biochemistry assay proteins; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7
ST5,2733,11,"ST5. Significant (p<1.7x10-5) proteomic associations with age, sex or BMI.; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10"
ST6,2132,14,"ST6. Significant (p<1.7x10-5) proteomic interactions between age, sex, BMI .; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10; Unnamed: 11; Unnamed: 12; Unnamed: 13"
ST7,2945,77,"ST7. Proteomic associations with smoking, medication use, liver function, renal function and top 20 most prevalent diseases; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10; Unnamed: 11; Unnamed: 12; Unnamed: 13; Unnamed: 14; Unnamed: 15; Unnamed: 16; Unnamed: 17; Unnamed: 18; Unnamed: 19; Unnamed: 20; Unnamed: 21; Unnamed: 22; Unnamed: 23; Unnamed: 24; Unnamed: 25; Unnamed: 26; Unnamed: 27; Unnamed: 28; Unnamed: 29; Unnamed: 30; Unnamed: 31; Unnamed: 32; Unnamed: 33; Unnamed: 34; Unnamed: 35; Unnamed: 36; Unnamed: 37; Unnamed: 38; Unnamed: 39; Unnamed: 40; Unnamed: 41; Unnamed: 42; Unnamed: 43; Unnamed: 44; Unnamed: 45; Unnamed: 46; Unnamed: 47; Unnamed: 48; Unnamed: 49; Unnamed: 50; Unnamed: 51; Unnamed: 52; Unnamed: 53; Unnamed: 54; Unnamed: 55; Unnamed: 56; Unnamed: 57; Unnamed: 58; Unnamed: 59; Unnamed: 60; Unnamed: 61; Unnamed: 62; Unnamed: 63; Unnamed: 64; Unnamed: 65; Unnamed: 66; Unnamed: 67; Unnamed: 68; Unnamed: 69; Unnamed: 70; Unnamed: 71; Unnamed: 72; Unnamed: 73; Unnamed: 74; Unnamed: 75; Unnamed: 76"
ST8,19,4,ST8. Performance of trained proteomic proteomic prediction models on held-out test data; Unnamed: 1; Unnamed: 2; Unnamed: 3
ST9,14287,32,"Variant ID (CHROM:GENPOS (hg37):A0:A1:imp:v1); CHROM; GENPOS (hg38); Region ID; Region Start; Region End; MHC; UKBPPP ProteinID; Assay Target; Target UniProt; rsID; A1FREQ (discovery); BETA (discovery, wrt. A1); SE (discovery); log10(p) (discovery); A1FREQ (replication); BETA (replication); SE (replication); log10(p) (replication); cis/trans; cis gene; Bioinfomatic annotated gene; Ensembl gene ID; Annotated gene consequence; Biotype; Distance to gene; CADD_phred; SIFT; PolyPhen; PHAST Phylop_score; FitCons_score; IMPACT"
ST10,23588,29,Variant ID (CHROM:GENPOS (hg37):A0:A1:imp:v1); CHROM; GENPOS (hg38); Region ID; Region Start; Region End; MHC; UKBPPP ProteinID; Assay Target; Target UniProt; rsID; A1FREQ; BETA; SE; log10(p); Significant in discovery cohort; cis/trans; cis gene; Bioinfomatic annotated gene; Ensembl gene ID; Annotated gene consequence; Biotype; Distance to gene; CADD_phred; SIFT; PolyPhen; PHAST Phylop_score; FitCons_score; IMPACT
ST11,1923,29,Variant ID (CHROM:GENPOS (hg37):A0:A1:imp:v1); CHROM; GENPOS (hg38); Region Start; Region End; MHC; UKBPPP ProteinID; Assay Target; Target UniProt; rsID; Ancestry; A1FREQ; BETA; SE; log10(p); Significant in discovery cohort; cis/trans; cis gene; Bioinfomatic annotated gene; Ensembl gene ID; Annotated gene consequence; Biotype; Distance to gene; CADD_phred; SIFT; PolyPhen; PHAST Phylop_score; FitCons_score; IMPACT
ST12,55,22,Variant ID; CHROM; POS (hg38); A0; A1; A1 Freq; Gene; Ensembl ID; Consequence; IMPACT; BIOTYPE; Amino acids; Codons; cDNA_position; CDS_position; Protein_position; HGVSc_VEP; HGVSp_VEP; SIFT_pred; SIFT_score; integrated_fitCons_rankscore; integrated_fitCons_score
ST13,517,13,Variant ID; CHROM; POS (hg38); A0; A1; A1 Freq; BIOTYPE; Ensembl ID; MOTIF_NAME; MOTIF_POS; HIGH_INF_POS; MOTIF_SCORE_CHANGE; TRANSCRIPTION_FACTORS
ST14,563,7,UKBPPP ProteinID; rsID (lead variant); rsID (PAV); Lead variant is PAV; R2 with lead variant; PAV consequence; PAV impact
ST15,14287,18,"Variant ID (CHROM:GENPOS (hg37):A0:A1:imp:v1); CHROM; GENPOS (hg38); Region ID; Region Start; Region End; MHC; UKBPPP ProteinID; Assay Target; Target UniProt; rsID; A1FREQ (discovery); BETA (discovery, wrt. A1); SE (discovery); log10(p) (discovery); cis/trans; novel/replicated; technology if replicated"
ST16,29421,16,UKBPPP ProteinID; Top variant (defined by highest PIP); Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9; Unnamed: 10; Unnamed: 11; Credible set (truncated to top 1000 variants); Unnamed: 13; Unnamed: 14; Unnamed: 15
ST17,7836,6,UKBPPP_ProteinID; Top variant ID; Count; PIP sum; PAVs variant ID; PAVs gene|HGVSp
ST18,1275,8,UKBPPP ProteinID; Top variant ID; Direction (ALT); Coloc count; UKBPPP Protein IDs; Top variant IDs; Direction (Cis pQTL top variant; ALT); Coloc PP.H4
ST19,2431,8,UKBPPP ProteinID; pQTL component; Unnamed: 2; Unnamed: 3; Polygenic component; Total heritability (TH); Proportion of TH explained by primary cis pQTL component; Proportion of TH explained by primary trans pQTL component
ST20,2568,8,UKBPPP ProteinID; UniProt name; ID; rsid; CHROM; GENPOS; Interacting protein at trans locus; Interaction details
ST21,54,12,UKBPPP ProteinID; Panel; ID; A1FREQ; BETA; SE; LOG10P; Protein tested; Protein tested (long name); Interacting protein at trans locus; Interacting protein at trans locus (long name); Relatioship type
ST22,2784,7,ST22. Enrichment of genes in trans loci of each protein for biological functions.; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6
ST23,55,8,Target protein (UKBPPP ProteinID); Receptor/ligand gene at/near trans locus; Family; Variant ID; rsID; BETA; SE; log10(p)
ST24,14288,22,UKBPPP ProteinID; Assay Target; Variant ID; CHROM; GENPOS (hg38); cis/trans; Tissue Enrichment; Tissue Distribution; Tissues; Discovery; Unnamed: 10; Unnamed: 11; Adj. for blood cells; Unnamed: 13; Unnamed: 14; Adj. for BMI; Unnamed: 16; Unnamed: 17; Adj. for season+fasting time; Unnamed: 19; Unnamed: 20; Unnamed: 21
ST25,2942,10,ST25. Protein variances explained by various a priori defined factors.; Unnamed: 1; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Unnamed: 8; Unnamed: 9
ST26,1956,9,"UKBPPP ProteinID; Top variant ID; Direction (ALT); Gene name; Coloc count; Coloc tissues; Direction (pQTL top variant, ALT); Top variant ID.1; Coloc PP.H4"
ST27,1051,5,UKBPPP ProteinID:Protein Panel; Tested variable; Beta; SE; log10(p)
ST28,14,15,COVID-19 HG study; COVID-19 Host Genetics Consortium associations; Unnamed: 2; Unnamed: 3; Unnamed: 4; Unnamed: 5; Unnamed: 6; Unnamed: 7; Colocalised proteins (UKBPPP ProteinIDs); Gene locus; Posterior Probability of colocalization (PP); Regional posterior probability of colocalization; Candidate variant; Posterior explained by SNP; No. of colocalized proteins
ST29,14,10,Protein; Sentinel Variant; rsID; Cis/Trans; Annotated/nearest gene; BETA; log10(p); Role in Inflammasome; novel/replicated; technology if replicated
